Japanese,Hiragana,Romaji,English
驚く,おどろく,odoroku,to be surprised
泣く,なく,naku,cry
怒る,おこる,okoru,get angry
笑う,わらう,warau,laugh
怖がる,こわがる,kowagaru,fear
惚れる,ほれる,horeru,fall in love
慌てる,あわてる,awateru,"panic, be flustered"
慰める,なぐさめる,nagusameru,"comfort, console"
思う,おもう,omou,think
考える,かんがえる,kangaeru,consider
褒める,ほめる,homeru,praise
支える,ささえる,sasaeru,support
忘れる,わすれる,wasureru,forget
覚える,おぼえる,oboeru,"remember, learn"
疲れる,つかれる,tsukareru,get tired
信じる,しんじる,shinjiru,to believe
要る,いれる,iru,to need
間違える,まちがえる,machigaeru,make a mistake
知る,しる,shiru,to know
苦しむ,くるしむ,kurushimu,suffer
痛む,いたむ,itamu,"become hurt, damaged"
可愛がる,かわいがる,kawaigaru,"love, be affectionate"
住む,すむ,sumu,to live
洗う,あらう,arau,to wash
付ける,つける,tsukeru,to turn on (light)
帰る,かえる,kaeru,to return (home)
切る,きる,kiru,to cut
寝る,ねる,neru,fall asleep
手伝う,てつだう,tetsudau,help
飲む,のむ,nomu,to drink
食べる,たべる,taberu,to eat
浴びる,あびる,abiru,bathe
磨く,みがく,migaku,brush (teeth)
食べる,たべる,taberu,to eat
寝る,ねる,neru,to sleep
触る,さわる,fureru,touch
着る,きる,kiru,to wear
届ける,とどける,todokeru,deliver
焼く,やく,yaku,bake
混ぜる,まぜる,mazeru,mix
開ける,あける,akeru,to open
入る,はいる,hairu,to enter
出る,でる,deru,to leave
作る,つくる,tsukuru,to make
置く,おく,oku,to put
遊ぶ,あそぶ,asobu,to play
歩く,あるく,aruku,walk
走る,はしる,hashiru,run
登る,のぼる,noboru,climb
泳ぐ,およぐ,oyogu,swim
座る,すわる,suwaru,sit
飛ぶ,とぶ,tobu,to fly
来る,くる,kuru*,to come
行く,いく,iku,to go
通う,かよう,kayou,commute
踊る,おどる,odoru,dance
抱く,だく,daku,"embrace, hug"
会う,あう,au,meet
働く,はたらく,hataraku,to work
泳ぐ,およぐ,oyogu,swim
書く,かく,kaku,to write
消す,けす,kesu,to erase
聞く,きく,kiku,to listen
待つ,まつ,matsu,to wait
動く,うごく,ugoku,to move
次ぐ,つぐ,tsugu,be next
見る,みる,miru,to see
見せる,みせる,miseru,to show
起きる,おきる,okiru,to get up
降りる,おりる,oriru,to get off
逃げる,にげる,nigeru,"run away, escape"
倒れる,たおれる,taoreru,"fall down, collapse"
急ぐ,いそぐ,isogu,to hurry
,あげる,ageru,give
,もらう,morau,receive
終わる,おわる,owaru,to finish
買う,かう,kau,to buy
返す,かえす,kaesu,to return
代わる,かわる,kawaru,switch
押す,おす,osu,to push
引く,ひく,hiku,to pull
話す,はなす,hanasu,to speak
言う,いう,iu,say
歌う,うたう,utau,sing
話す,しゃべる,shaberu,to talk; to chat
答える,こたえる,kotaeru,answer
教える,おしえる,oshieru,"teach, show"
聞く,きく,kiku,to ask
頼む,たのむ,tanomu,to ask (favor)
呼ぶ,よぶ,yobu,to call
電話する,でんわする,denwa suru,to call
勉強する,べんきょうする,benkyou suru,to study
宿題する,しゅくだいする,shukudai suru,to do homework
復習する,ふくしゅうする,fukushuu suru,to review
料理する,りょうりする,ryouri suru,cook
練習する,れんしゅうする,renshuu suru,practice
結婚する,けっこんする,kekkon suru,get married
掃除する,そうじする,souji suru,to clean
散歩する,さんぽする,sanpo suru,to take a stroll
